study_id,experiment_group,base_experiment_id,architecture,window_size,stride,hidden,latent_dim,beta,scaling,threshold_method,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,n_seeds,seeds,threshold_value_mean,threshold_value_std
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,val_f1,test,0.8192474372132649,0.04699969012142485,0.6237240408306934,0.13068657314263596,0.7053330467738105,0.10434929315078605,0.9943484009577954,0.0006420864794764313,0.7547641933151413,0.026930609469672705,0.9780308206179306,0.006101792693061705,0.8088631628372812,0.06558578605938492,3,"7,42,123",13.349073332813717,1.0182249164830766
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,val_f1,val,0.526450778357643,0.06696627883339122,0.8509142053445852,0.05156203313593071,0.6476112476112476,0.042762850253823,0.9931883355134351,0.00035590923489509704,0.440704100601244,0.007303898939370462,0.9895808852330591,0.0021189850926209425,0.9210286082019691,0.02500012848351322,3,"7,42,123",13.349073332813717,1.0182249164830766
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p98,test,0.626262340053121,0.18634720828609863,0.2752551918338613,0.22617488116653775,0.3677372883998143,0.25130795024466085,0.9939431774436075,0.0011609912656558718,0.741645902497586,0.030705776841733846,0.9635618310179913,0.009929218228266094,0.6349222773081467,0.11316543313432433,3,"7,42,123",15.612414042154947,4.838551890394781
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p98,val,0.3823315118397086,0.3364719801894007,0.37271448663853723,0.3613532590751657,0.3740584202122664,0.3432417450698152,0.9934276051813816,0.00174848734611584,0.449103320527156,0.05964277795402414,0.9880141010575794,0.004861855254171527,0.6838300702673309,0.18107702127472425,3,"7,42,123",15.612414042154947,4.838551890394781
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p99,test,0.5069482096014161,0.04286573952263522,0.09750087997184091,0.010050187634825227,0.163411637886255,0.015519773623741153,0.9939431774436075,0.0011609912656558718,0.741645902497586,0.030705776841733846,0.9569650041752068,0.0007415795927075362,0.5466044321159027,0.005004040487426507,3,"7,42,123",16.25581129391988,5.08793177871969
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p99,val,0.057347670250896064,0.0993290785702582,0.022503516174402247,0.03897723336301271,0.032323232323232316,0.05598548064869097,0.9934276051813816,0.00174848734611584,0.449103320527156,0.05964277795402414,0.985162553858206,0.0012403350713993011,0.509255370597896,0.01963934205270937,3,"7,42,123",16.25581129391988,5.08793177871969
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p995,test,0.5315101433225801,0.040501168575802625,0.09010911650827173,0.004234850199055253,0.1539171900824746,0.004913875921241637,0.9939431774436075,0.0011609912656558718,0.741645902497586,0.030705776841733846,0.9572838381537995,0.0005780852156227054,0.543241756781681,0.0018037877765609046,3,"7,42,123",16.686697959899902,5.189081569145509
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,train_p995,val,0.0,0.0,0.0,0.0,0.0,0.0,0.9934276051813816,0.00174848734611584,0.449103320527156,0.05964277795402414,0.9855855855855856,0.0007897897789974315,0.498344265931489,0.0003993435105088732,3,"7,42,123",16.686697959899902,5.189081569145509
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,val_f1,test,0.8202995746966181,0.04044255205962941,0.648363252375924,0.09591725358312152,0.7227426454766318,0.07222423674448947,0.9939431774436075,0.0011609912656558718,0.741645902497586,0.030705776841733846,0.9787823578531846,0.004595712902274382,0.8210201321539432,0.04814820601859011,3,"7,42,123",15.133888820603465,4.739880555504593
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,dense,60,10,"[256, 128, 64]",16,1.0,none,val_f1,val,0.597365330002825,0.07644515331453261,0.8776371308016877,0.052700405049775516,0.7078897078897078,0.05223667436598126,0.9934276051813816,0.00174848734611584,0.449103320527156,0.05964277795402414,0.9918213866039953,0.0022041596404593663,0.9353724203300197,0.025669056235968782,3,"7,42,123",15.133888820603465,4.739880555504593
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p98,test,0.7935725612327884,0.1876899467914027,0.6594508975712777,0.4343959935801665,0.6864067598044302,0.3798566833305621,0.9943959390405371,0.0028260090010095566,0.8224783963424241,0.064632159684842,0.9807712745767859,0.0191414267723449,0.8273533365744177,0.2173950461904396,3,"7,42,123",209.10673475265503,191.6095666361155
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p98,val,0.5275466735283186,0.18582270221580502,0.6933895921237694,0.4506742607598344,0.5824260087494196,0.3114226674715469,0.9962589963456389,0.002086518264855089,0.6137811570948181,0.12675645576097538,0.9911006658832745,0.003934937204817656,0.843922035660072,0.2247882661635568,3,"7,42,123",209.10673475265503,191.6095666361155
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p99,test,0.7028323108752478,0.19090865871681842,0.2085533262935586,0.10527405855431574,0.31885712821568385,0.14848990803488643,0.9943959390405371,0.0028260090010095566,0.8224783963424241,0.064632159684842,0.9627343809306916,0.005326956878778235,0.6026423651015902,0.0530434175129249,3,"7,42,123",218.26064213116965,199.237844157838
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p99,val,0.506939625260236,0.43919536290734096,0.2812939521800281,0.24375382932084314,0.3618180747024861,0.3135069723890294,0.9962589963456389,0.002086518264855089,0.6137811570948181,0.12675645576097538,0.9898002350176264,0.003951931626013609,0.639537871929289,0.12250210844926201,3,"7,42,123",218.26064213116965,199.237844157838
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p995,test,0.6623376623376623,0.10679896363501196,0.08535726856740584,0.0008065075140717774,0.15090687615618326,0.0021004842268927053,0.9943959390405371,0.0028260090010095566,0.8224783963424241,0.064632159684842,0.9585591740681698,0.0009825363812260618,0.5416393476627331,0.0002826360023788419,3,"7,42,123",227.53064676125845,206.93189423734125
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,dense,60,10,"[64, 32]",16,1.0,none,train_p995,val,0.0,0.0,0.0,0.0,0.0,0.0,0.9962589963456389,0.002086518264855089,0.6137811570948181,0.12675645576097538,0.9876224050137093,0.0010051869914513424,0.499374148366448,0.0005082553770113013,3,"7,42,123",227.53064676125845,206.93189423734125
