study_id,experiment_group,base_experiment_id,experiment_id,run_id,run_dir,architecture,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,val_f1,23.07661754473969,val,0.4231678486997636,0.7552742616033755,0.5424242424242424,0.9899470638422818,0.3673369736193151,0.9858049353701528,0.871838100475611,20794,244,58,179,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,val_f1,23.07661754473969,test,0.764341957255343,0.7175290390707497,0.7401960784313726,0.9914200986238662,0.6984292857007164,0.9782737417444773,0.8537783238004167,41597,419,535,1359,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p98,38.59405326843262,val,0.7953488372093023,0.7215189873417721,0.7566371681415929,0.9975184546508769,0.6581415114372715,0.9948296122209166,0.859713766890774,20994,44,66,171,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p98,38.59405326843262,test,0.7824519230769231,0.3437170010559662,0.47762289068231834,0.9934874711579679,0.8088981840070455,0.9675700296060123,0.6697045591723091,41835,181,1243,651,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p99,42.54469966888428,val,0.0,0.0,0.0,0.9975184546508769,0.6581415114372715,0.9873560517038777,0.4992394714326457,21006,32,237,0,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p99,42.54469966888428,test,0.6309963099630996,0.09028511087645195,0.15796766743648963,0.9934874711579679,0.8088981840070455,0.9584832612161239,0.5439525325897873,41916,100,1723,171,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p995,45.704347133636475,val,0.0,0.0,0.0,0.9975184546508769,0.6581415114372715,0.9879670975323149,0.4995484361631334,21019,19,237,0,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,train_p995,45.704347133636475,test,0.7142857142857143,0.08447729672650475,0.15108593012275734,0.9934874711579679,0.8088981840070455,0.9590526076064678,0.5414770337402516,41952,64,1734,160,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,val_f1,35.89734730437771,val,0.720125786163522,0.9662447257383966,0.8252252252252252,0.9975184546508769,0.6581415114372715,0.9954406580493537,0.9810071427912441,20949,89,8,229,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s42,20260430_075837,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s42/20260430_075837,dense,60,10,"[128, 64, 32]",16,1.0,42,none,val_f1,35.89734730437771,test,0.857742782152231,0.8627243928194298,0.8602263753619372,0.9934874711579679,0.8088981840070455,0.9879070826690959,0.928137234490446,41745,271,260,1634,63526,21275,43910,237,1894,9.176934242248535,8.310589790344238,38.59405326843262,17.75853157043457,39.83439636230469
