model,source,percentile,threshold,precision,recall,f1,fp,tp
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.9,225.5661037597658,0.958904109589041,0.07383966244725738,0.13712047012732614,3,70
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.0,0.03324788063764572,0.3218898708361659,1.0,0.4870146567240936,3990,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.10102040816327,0.033724436955526474,0.3234289617486339,1.0,0.48877419354838714,3962,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.20204081632653,0.03425747906523092,0.3248713550600343,1.0,0.49041947177628176,3936,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.3030612244898,0.03472383549170835,0.32570937231298364,1.0,0.4913737190297055,3921,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.40408163265306,0.03518366579498563,0.3271722231818967,1.0,0.49303657425484837,3895,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.50510204081633,0.035638518797765854,0.32842032252470954,1.0,0.49445242135491446,3873,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.60612244897959,0.03618354325049687,0.3297927912240989,1.0,0.49600628519051976,3849,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.70714285714286,0.03661852558143421,0.33054101221640486,1.0,0.49685204616998946,3836,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.80816326530612,0.03711820947272433,0.3316987740805604,1.0,0.49815886375591795,3816,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,90.90918367346939,0.037637865989069826,0.33309883925430883,1.0,0.49973614775725594,3792,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.01020408163265,0.03819078878898706,0.3340977244663962,1.0,0.5008594473092688,3775,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.11122448979592,0.0387790237886033,0.33545873184555436,1.0,0.5023872679045093,3752,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.21224489795918,0.03925616797059777,0.3364120781527531,1.0,0.5034556087187666,3736,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.31326530612245,0.03980747050206577,0.3377920456572142,1.0,0.5049993334222104,3713,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.41428571428571,0.040306903235614304,0.33906194056569994,1.0,0.5064171122994652,3692,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.51530612244898,0.04078758255179441,0.34046377853676074,1.0,0.5079790800590049,3669,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.61632653061224,0.04129099409495086,0.3414458265729223,1.0,0.509071361376159,3653,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.7173469387755,0.04183702203445135,0.34218608852755195,1.0,0.509893659981155,3641,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.81836734693877,0.042536754254251706,0.3438634713144517,1.0,0.5117535801134828,3614,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,91.91938775510204,0.04325464703142641,0.345053743851339,1.0,0.5130705675199783,3595,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.0204081632653,0.04407914501747904,0.34701355807988277,1.0,0.515233949945593,3564,1894
Isolation Forest,models/baseline_runs/isolation_forest/20260430_063747,92.12142857142857,0.044879050925374024,0.34912442396313365,1.0,0.5175570433119279,3531,1894
